Concentration;DAPD;Drug;IKr block;ICaL block;Nominal concentration
0.09615;20.9192308;Chlorpromazine;21.81923605;4.132055689;0.3
0.36;40.6057692;Chlorpromazine;41.03165268;12.76725069;1
0.05465;-12.048077;Chlorpromazine;15.87999644;2.490782888;0.3
0.226;19.5211538;Chlorpromazine;33.51839726;8.684240827;1
1.137;9.9461538;Chlorpromazine;60.66312729;29.80177016;3
0.068;44.4153847;Chlorpromazine;18.00599043;3.032570095;0.3
0.348;41.248077;Chlorpromazine;40.46524259;12.42168909;1
1.44;55.573077;Chlorpromazine;64.48914909;34.57015199;3
0.0849;-19.46923077;Chlorpromazine;20.38601007;3.698972905;0.3
0.4195;1.309615385;Chlorpromazine;43.61482735;14.42962216;1
1.445;-0.401923077;Chlorpromazine;64.54405983;34.64278894;3
0.16225;24.41538462;Chlorpromazine;28.61498838;6.539447974;0.3
0.3615;10.80576923;Chlorpromazine;41.10128989;12.81019404;1
1.425;42.01923077;Chlorpromazine;64.32303414;34.35115603;3
0.1168;-7.057692308;Chlorpromazine;24.2026615;4.90771211;0.3
0.4525;-6.178846154;Chlorpromazine;44.90752192;15.31721029;1
1.635;12.4;Chlorpromazine;66.47517711;37.27619359;3
0.3335;44.3192308;Clozapine;15.8684854;8.320133376;0.3
0.9795;-0.2403846;Clozapine;34.1071495;19.85330266;1
2.49;40.5326923;Clozapine;55.37154316;37.14651892;3
0.25;-1.4;Clozapine;12.58597526;6.487547204;0.3
2.605;-13.1192307;Clozapine;56.41444897;38.13418858;3
2.29;-18.2942307;Clozapine;53.42558145;35.34351582;3
0.3225;-17.3038462;Clozapine;15.45341254;8.084778577;0.3
1.35;-1.4423077;Clozapine;41.14639439;25.03988416;1
2.425;-8.9211539;Clozapine;54.75829035;36.57278224;3
0.2635;12.0192308;Clozapine;13.1382096;6.791330128;0.3
2.23;21.5096154;Clozapine;52.80606555;34.7801224;3
3.375;16.1307692;Clozapine;62.26115119;43.96695441;3
0.2475;15.9788461;Clozapine;12.482733;6.430952367;0.3
0.9575;37.1903846;Clozapine;33.63040902;19.51857099;1
2.7;39.6153846;Clozapine;57.23785204;38.92482904;3
0.3065;0.6096154;Clozapine;14.84067161;7.739287904;0.3
1.0265;-6.0653846;Clozapine;35.10088587;20.55750537;1
0.3;-10.3057692;Clozapine;14.58862319;7.597839732;0.3
3;-9.9173077;Clozapine;59.63512847;41.28303418;3
30;12.4403846;Clozapine;92.74260586;85.73842479;30
0.3;1.5653847;Clozapine;14.58862319;7.597839732;0.3
3;9.5673077;Clozapine;59.63512847;41.28303418;3
30;6.5269231;Clozapine;92.74260586;85.73842479;30
0.3;6.4153847;Clozapine;14.58862319;7.597839732;0.3
3;3.725;Clozapine;59.63512847;41.28303418;3
30;0.9442308;Clozapine;92.74260586;85.73842479;30
0.3;24.6615385;Clozapine;14.58862319;7.597839732;0.3
3;16.525;Clozapine;59.63512847;41.28303418;3
30;40.3596154;Clozapine;92.74260586;85.73842479;30
0.001;17.5576923;Dofetilide;1.696192417;9.99E-12;0.001
0.01;83.4461539;Dofetilide;20.15128366;1.00E-10;0.01
0.1;303.9594552;Dofetilide;78.68338438;1.00E-09;0.1
0.2;428.4076923;Dofetilide;89.22133751;2.00E-09;0.2
0.001;42.3846154;Dofetilide;1.696192417;9.99E-12;0.001
0.01;128.7557692;Dofetilide;20.15128366;1.00E-10;0.01
0.1;292.6692308;Dofetilide;78.68338438;1.00E-09;0.1
0.2;336.5884615;Dofetilide;89.22133751;2.00E-09;0.2
0.001;30.4076923;Dofetilide;1.696192417;9.99E-12;0.001
0.01;96.7846154;Dofetilide;20.15128366;1.00E-10;0.01
0.1;302.9038462;Dofetilide;78.68338438;1.00E-09;0.1
0.2;373.6423077;Dofetilide;89.22133751;2.00E-09;0.2
0.001;44.8288461;Dofetilide;1.696192417;9.99E-12;0.001
0.01;96.6173077;Dofetilide;20.15128366;1.00E-10;0.01
0.1;217.6942308;Dofetilide;78.68338438;1.00E-09;0.1
0.2;256.9903846;Dofetilide;89.22133751;2.00E-09;0.2
0.001;0.6711539;Dofetilide;1.696192417;9.99E-12;0.001
0.01;83.5769231;Dofetilide;20.15128366;1.00E-10;0.01
0.1;191.1769231;Dofetilide;78.68338438;1.00E-09;0.1
0.2;236.4269231;Dofetilide;89.22133751;2.00E-09;0.2
0.001;33.1019231;Dofetilide;1.696192417;9.99E-12;0.001
0.01;159.7134616;Dofetilide;20.15128366;1.00E-10;0.01
0.001;25.5884616;Dofetilide;1.696192417;9.99E-12;0.001
0.01;78.2461539;Dofetilide;20.15128366;1.00E-10;0.01
0.1;296.4384616;Dofetilide;78.68338438;1.00E-09;0.1
0.2;478.8673077;Dofetilide;89.22133751;2.00E-09;0.2
0.001;8.2307692;Dofetilide;1.696192417;9.99E-12;0.001
0.01;85.4076923;Dofetilide;20.15128366;1.00E-10;0.01
0.1;271.0326923;Dofetilide;78.68338438;1.00E-09;0.1
0.001;8.2105351;Dofetilide;1.696192417;9.99E-12;0.001
0.001;21.426923;Dofetilide;1.696192417;9.99E-12;0.001
0.01;82.4634615;Dofetilide;20.15128366;1.00E-10;0.01
0.1;388.9173077;Dofetilide;78.68338438;1.00E-09;0.1
0.2;403.8923077;Dofetilide;89.22133751;2.00E-09;0.2
0.001;-18.1923077;Dofetilide;1.696192417;9.99E-12;0.001
0.01;40.5480769;Dofetilide;20.15128366;1.00E-10;0.01
0.001;3.8692308;Dofetilide;1.696192417;9.99E-12;0.001
0.01;59.6153846;Dofetilide;20.15128366;1.00E-10;0.01
0.1;153.6923077;Dofetilide;78.68338438;1.00E-09;0.1
0.2;158.4403846;Dofetilide;89.22133751;2.00E-09;0.2
0.001;36.1038461;Dofetilide;1.696192417;9.99E-12;0.001
0.01;98.6019231;Dofetilide;20.15128366;1.00E-10;0.01
0.1;235.7365384;Dofetilide;78.68338438;1.00E-09;0.1
0.2;296.1692308;Dofetilide;89.22133751;2.00E-09;0.2
0.001;27.8673077;Dofetilide;1.696192417;9.99E-12;0.001
0.01;60.5673077;Dofetilide;20.15128366;1.00E-10;0.01
0.1;165.6307692;Dofetilide;78.68338438;1.00E-09;0.1
0.2;208.0576923;Dofetilide;89.22133751;2.00E-09;0.2
0.1435;14.4673077;Fluoxetine;22.17915334;16.68119002;0.3
0.722;-14.9692308;Fluoxetine;48.75146658;46.15084349;1
1.925;4.5480769;Fluoxetine;66.40996636;67.44362793;3
0.1515;11.6115385;Fluoxetine;22.885539;17.37087793;0.3
0.571;1.85;Fluoxetine;44.39885475;40.9642408;1
2.125;-17.7596154;Fluoxetine;68.03447815;69.36587071;3
0.169;6.0942308;Fluoxetine;24.35640285;18.82861062;0.3
0.506;25.4403846;Fluoxetine;42.18591292;38.36200125;1
1.515;10.5692308;Fluoxetine;62.31506696;62.54531471;3
0.176;-2.9596154;Fluoxetine;24.9185426;19.39323115;0.3
0.571;-2.9673077;Fluoxetine;44.39885475;40.9642408;1
1.79;-2.7134615;Fluoxetine;65.18941986;65.99069721;3
0.119;21.026923;Fluoxetine;19.86240496;14.46884494;0.3
0.5995;19.8576923;Fluoxetine;45.29756669;42.0283977;1
1.085;-6.8576923;Fluoxetine;56.31365919;55.28784297;3
0.0283;-38.2173077;Mesoridazine;9.783445369;1.604175995;0.04
0.229;-6.4192308;Mesoridazine;33.84737854;8.512228107;0.25
7.33;12.1730769;Mesoridazine;87.00810481;62.53885382;10
0.0332;10.3346154;Mesoridazine;10.88024096;1.828234378;0.04
0.2395;-5.6269231;Mesoridazine;34.59616502;8.807596386;0.25
7.765;21.8557692;Mesoridazine;87.48404885;63.6569834;10
0.03335;-1.4365385;Mesoridazine;10.91271666;1.834986234;0.04
0.2015;0.2576923;Mesoridazine;31.75554192;7.718173619;0.25
7.855;16.2615385;Mesoridazine;87.5773744;63.87877035;10
0.0348;6.6923077;Mesoridazine;11.22353576;1.899949195;0.04
0.231;5.5788462;Mesoridazine;33.99199984;8.568807905;0.25
8.655;19.3730769;Mesoridazine;88.3393685;65.72124369;10
0.03435;-0.5923077;Mesoridazine;11.12767051;1.87984672;0.04
0.254;17.8942307;Mesoridazine;35.58957671;9.208885607;0.25
7.925;28.9346153;Mesoridazine;87.64881721;64.04911981;10
0.0332;6.3211538;Mesoridazine;10.88024096;1.828234378;0.04
0.2405;0.3769231;Mesoridazine;34.66615422;8.835513556;0.25
8.065;24.6961538;Mesoridazine;87.78879327;64.38431021;10
0.003;17.9269231;Nifedipine;3.00E-09;5.780505738;0.003
0.03;24.3153846;Nifedipine;3.00E-08;24.39817522;0.03
0.3;-7.3980769;Nifedipine;3.00E-07;62.92945867;0.3
0.003;2.3096154;Nifedipine;3.00E-09;5.780505738;0.003
0.03;-37.5692308;Nifedipine;3.00E-08;24.39817522;0.03
0.3;-37.5673077;Nifedipine;3.00E-07;62.92945867;0.3
0.003;5.323077;Nifedipine;3.00E-09;5.780505738;0.003
0.03;-15.6211538;Nifedipine;3.00E-08;24.39817522;0.03
0.3;-17.9403846;Nifedipine;3.00E-07;62.92945867;0.3
0.003;2.9192307;Nifedipine;3.00E-09;5.780505738;0.003
0.03;-7.2461539;Nifedipine;3.00E-08;24.39817522;0.03
0.3;-30.7942308;Nifedipine;3.00E-07;62.92945867;0.3
0.1;13.9730769;Quinidine;4.721383326;1.474926254;0.1
1;-2.2461538;Quinidine;57.03766262;13.02083333;1
10;47.0711539;Quinidine;97.26545666;59.95203837;10
0.1;-4.7961538;Quinidine;4.721383326;1.474926254;0.1
1;-4.3923077;Quinidine;57.03766262;13.02083333;1
10;63.898077;Quinidine;97.26545666;59.95203837;10
0.1;-17.2634615;Quinidine;4.721383326;1.474926254;0.1
1;-16.7576923;Quinidine;57.03766262;13.02083333;1
10;1.6961539;Quinidine;97.26545666;59.95203837;10
0.1;-36.273077;Quinidine;4.721383326;1.474926254;0.1
1;8.8211538;Quinidine;57.03766262;13.02083333;1
10;15.1096154;Quinidine;97.26545666;59.95203837;10
0.1;7.2653846;Quinidine;4.721383326;1.474926254;0.1
1;8.15;Quinidine;57.03766262;13.02083333;1
10;-5.1038462;Quinidine;97.26545666;59.95203837;10
0.1;14.8173077;Quinidine;4.721383326;1.474926254;0.1
1;22.5576923;Quinidine;57.03766262;13.02083333;1
10;45.0865385;Quinidine;97.26545666;59.95203837;10
0.1;5.4923077;Quinidine;4.721383326;1.474926254;0.1
1;6.1153846;Quinidine;57.03766262;13.02083333;1
10;29.3076923;Quinidine;97.26545666;59.95203837;10
0.1;35.9057692;Quinidine;4.721383326;1.474926254;0.1
1;4.7980769;Quinidine;57.03766262;13.02083333;1
10;50.201923;Quinidine;97.26545666;59.95203837;10
0.1;-7.7769231;Quinidine;4.721383326;1.474926254;0.1
1;15.8269231;Quinidine;57.03766262;13.02083333;1
10;48.9403846;Quinidine;97.26545666;59.95203837;10
0.1;26.775;Quinidine;4.721383326;1.474926254;0.1
1;23.5769231;Quinidine;57.03766262;13.02083333;1
10;52.8903846;Quinidine;97.26545666;59.95203837;10
0.1;-7.2423077;Quinidine;4.721383326;1.474926254;0.1
1;17.8576923;Quinidine;57.03766262;13.02083333;1
10;10.5673077;Quinidine;97.26545666;59.95203837;10
0.1;36.1923076;Quinidine;4.721383326;1.474926254;0.1
1;43.2557692;Quinidine;57.03766262;13.02083333;1
10;76.2865384;Quinidine;97.26545666;59.95203837;10
0.1;7.8596154;Quinidine;4.721383326;1.474926254;0.1
1;-31.0615385;Quinidine;57.03766262;13.02083333;1
10;9.1423077;Quinidine;97.26545666;59.95203837;10
0.1;11.0153846;Quinidine;4.721383326;1.474926254;0.1
1;10.9;Quinidine;57.03766262;13.02083333;1
10;74.2788461;Quinidine;97.26545666;59.95203837;10
0.00268;0.1442308;Thioridazine;1.401251783;0.103018337;0.012
0.229;-35.6134615;Thioridazine;60.2671259;21.65355588;0.6
0.653;-16.6211539;Thioridazine;82.00750075;50.7795117;2
0.002715;26.65;Thioridazine;1.420199978;0.104710546;0.012
0.2625;36.926923;Thioridazine;63.64440725;24.70600882;0.6
0.908;-9.0634616;Thioridazine;86.56469797;60.95865719;2
0.00194;33.6230769;Thioridazine;1.002122797;0.068653905;0.012
0.2025;54.7307693;Thioridazine;57.13782627;19.14587342;0.6
0.8845;44.075;Thioridazine;86.24124752;60.17144633;2
0.0007495;0.2173077;Thioridazine;0.371532587;0.020782339;0.012
0.2325;9.7019231;Thioridazine;60.64787218;21.97876207;0.6
0.8585;6.4326923;Thioridazine;85.86528494;59.26932034;2
0.01;-44.5673077;Verapamil;0.118630669;3.125;0.01
0.1;-44.0192307;Verapamil;5.217251683;24.3902439;0.1
1;-73.7115384;Verapamil;71.83901326;76.33587786;1
0.01;10.1480769;Verapamil;0.118630669;3.125;0.01
0.1;17.1173077;Verapamil;5.217251683;24.3902439;0.1
1;-14.9019231;Verapamil;71.83901326;76.33587786;1
0.01;-36.2038461;Verapamil;0.118630669;3.125;0.01
0.1;-61.7076923;Verapamil;5.217251683;24.3902439;0.1
1;38.2865385;Verapamil;71.83901326;76.33587786;1
0.01;-32.148077;Verapamil;0.118630669;3.125;0.01
0.1;-17.4634616;Verapamil;5.217251683;24.3902439;0.1
1;-0.1634616;Verapamil;71.83901326;76.33587786;1
0.01;-10.5461538;Verapamil;0.118630669;3.125;0.01
0.1;-31.7;Verapamil;5.217251683;24.3902439;0.1
1;-19.4019231;Verapamil;71.83901326;76.33587786;1
0.01;-21.9788462;Verapamil;0.118630669;3.125;0.01
0.1;-15.1865385;Verapamil;5.217251683;24.3902439;0.1
1;-13.3346154;Verapamil;71.83901326;76.33587786;1
0.01;-4.1173077;Verapamil;0.118630669;3.125;0.01
0.1;4.6673077;Verapamil;5.217251683;24.3902439;0.1
1;18.0076923;Verapamil;71.83901326;76.33587786;1
0.01;11.2384616;Verapamil;0.118630669;3.125;0.01
0.1;6.5211539;Verapamil;5.217251683;24.3902439;0.1
0.01;-18.75;Verapamil;0.118630669;3.125;0.01
0.1;-43.2673077;Verapamil;5.217251683;24.3902439;0.1
1;-98.3807692;Verapamil;71.83901326;76.33587786;1
0.01;-10.3192307;Verapamil;0.118630669;3.125;0.01
0.1;-26.5307692;Verapamil;5.217251683;24.3902439;0.1
1;-31.4807692;Verapamil;71.83901326;76.33587786;1
0.01;-29.5673077;Verapamil;0.118630669;3.125;0.01
0.1;-7.6961538;Verapamil;5.217251683;24.3902439;0.1
1;-65.1826923;Verapamil;71.83901326;76.33587786;1
0.01;-28.2519231;Verapamil;0.118630669;3.125;0.01
0.1;-24.8019231;Verapamil;5.217251683;24.3902439;0.1
1;0.1307692;Verapamil;71.83901326;76.33587786;1
0.01;7.2326923;Verapamil;0.118630669;3.125;0.01
0.1;-11.9134615;Verapamil;5.217251683;24.3902439;0.1
1;-16.2615384;Verapamil;71.83901326;76.33587786;1
0.01;-6.7730769;Verapamil;0.118630669;3.125;0.01
0.1;-12.2596153;Verapamil;5.217251683;24.3902439;0.1
1;-17.425;Verapamil;71.83901326;76.33587786;1
0.01;-11.8480769;Verapamil;0.118630669;3.125;0.01
0.1;-21.2903846;Verapamil;5.217251683;24.3902439;0.1
1;10.5461539;Verapamil;71.83901326;76.33587786;1
